stream_id,streamer_name,platform,game_name,category,viewer_count,follower_count,language,start_time,capture_time,stream_title,platform_id,game_id
Y4oxMyo9JnE,ROX PLAYSS,YouTube,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,,4,140000,,2025-11-22T04:23:46Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,UCQwZjsainZMrpUTwTZT7u1Q,
KxrybZuF86M,Selfie is live,YouTube,🔴1 Vs 2 GUILD TEST LIVE | GIRL GAMING+CUSTOM GIVEAWAY 😍| FREE FIRE LIVE #anshikaqueenff​ #freefire​,,5,14200,,2025-11-23T12:33:05Z,2025-11-23T13:48:10.724972+00:00,🔴1 Vs 2 GUILD TEST LIVE | GIRL GAMING+CUSTOM GIVEAWAY 😍| FREE FIRE LIVE #anshikaqueenff​ #freefire​,UCKelnQ_7n2N4GSijBkxF4gw,
Xlf0Le-DPRs,Kanshi ff gaming,YouTube,FREE FIRE GIRL LIVE | UNLIMITED CUSTOM ROOM |GUILD TEST 1V1 |TEAMCODE GIVEAWAY #freefirelive #fflive,,1,385000,,2025-08-20T07:15:30Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE GIRL LIVE | UNLIMITED CUSTOM ROOM |GUILD TEST 1V1 |TEAMCODE GIVEAWAY #freefirelive #fflive,UCeIMSsLtRRXpTXS4ARGke-g,
oFKMwbS72S4,A one gamers,YouTube,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,,4,1220000,,2025-05-18T05:53:47Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,UCwMuGiLpWz2TVCTJ66uX7BQ,
miVKAI3ePXQ,florenza gaming,YouTube,florenza gaming live,,3,108,,2025-11-23T11:53:00Z,2025-11-23T13:48:10.724972+00:00,florenza gaming live,UCjI3n0Cs0YagdZCGK6dcc7g,
zlWDGG8L-o4,XEROX FF,YouTube,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY| FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,,3,183000,,2025-07-02T07:49:54Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY| FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,UCSclTvUZCQbe-tEu47se05g,
eXtUK5XFtAo,XERO PLAYS,YouTube,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY FF LIVE TEAM CODE GIVEAWAY|#freefirelive #giveaway #fflive,,2,79600,,2025-09-12T10:23:48Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY FF LIVE TEAM CODE GIVEAWAY|#freefirelive #giveaway #fflive,UCEwzj-_iSOK9e1aplN44Uaw,
VbuynK1m0VY,SLAYER GAMING ,YouTube,SLAYER GAMING LIVE ! Pokemon UNITE live streaming #pokemonunite #pokemon #live,,2,46,,2025-11-23T12:24:27Z,2025-11-23T13:48:10.724972+00:00,SLAYER GAMING LIVE ! Pokemon UNITE live streaming #pokemonunite #pokemon #live,UCOX-ecS5-VyZPrqNPEdUHAQ,
-tOjwYso-NM,GD GAMING LIVE ,YouTube,Subscribe and support ...Target 500 Subscribers  - GD GAMING LIVE,,2,278,,2025-11-23T10:27:34Z,2025-11-23T13:48:10.724972+00:00,Subscribe and support ...Target 500 Subscribers  - GD GAMING LIVE,UC_D5fKBEXlkupy5UhONsQRA,
Iv3Kenm6iqA,KHOPDI YT,YouTube,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,,8,617000,,2025-10-20T15:39:45Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,UCiar4O5pZD5dETirUpPIRpg,
Ol-WpYszUbU,"AR彡Agent47  •  1M views  •  1 day ago 





•••",YouTube,Fever Meme Troll Game LIVE – Unbelievable Troll Moments &amp; Hilarious Fails! | ARAGENT47,,1,2960,,2025-11-23T12:50:40Z,2025-11-23T13:48:10.724972+00:00,Fever Meme Troll Game LIVE – Unbelievable Troll Moments &amp; Hilarious Fails! | ARAGENT47,UCOYHXhrDNOTMX-kjQwcr52A,
NRBUI4fiCNg,YOUBY l يوبي,YouTube,Granny Live Gaming|Granwny Gameplay video live|Horror Escape game #shorts #granny #shortslive,,3,653000,,2025-11-23T09:54:18Z,2025-11-23T13:48:10.724972+00:00,Granny Live Gaming|Granwny Gameplay video live|Horror Escape game #shorts #granny #shortslive,UCPeV6ohSHGY4CRI-1_YfwjQ,
Z23oa149C4g,Airz,YouTube,Playing Chrome Dinosaur Game FOR 500 BILLION SCORE! (World Record),,1,629000,,2024-10-15T07:49:00Z,2025-11-23T13:48:10.724972+00:00,Playing Chrome Dinosaur Game FOR 500 BILLION SCORE! (World Record),UCsQIzqmX4OR2h9n49B7PiBw,
